customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,join_year,join_month,join_day,join_weekday,annual_income_missing,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,annual_income_log,debt_to_income_ratio,spending_to_income_ratio
CUST1000,0.8636363636363635,1,North,2.0,Salaried,0.04206542584694847,0.046896297135899115,0.7385714285714284,0.28571428571428575,0.9726962457337883,0.163427352453188,2022-07-03,0,2022,7,3,Sunday,0,False,False,True,False,0.04120473008072588,1.1148418491358523,0.00163427352453188
CUST1001,0.6363636363636364,0,East,3.0,Salaried,0.02029645136553622,0.02915394886511659,0.6088571428571428,0.0,0.11945392491467577,0.5100734771272813,2019-09-20,0,2019,9,20,Friday,0,False,False,False,False,0.020093223662628317,1.4364062140744749,0.005100734771272814
CUST1002,0.3181818181818181,1,East,0.0,Salaried,0.09049406032119636,0.02677057209598562,0.4285714285714285,0.14285714285714285,0.7372013651877133,0.48506755155250064,2019-08-27,0,2019,8,27,Tuesday,0,False,False,False,False,0.08663085989661257,0.29582684212607013,0.004850675515525007
CUST1003,0.9545454545454546,1,West,0.0,Salaried,0.0918217091813689,0.07958703161502056,0.6465714285714285,0.14285714285714285,0.2696245733788396,0.6237260014221381,2021-03-07,0,2021,3,7,Sunday,0,False,False,False,False,0.08784759401228769,0.8667561552118134,0.006237260014221381
CUST1004,0.15909090909090912,1,West,2.0,Salaried,0.04519675112461977,0.06580943336275377,0.627142857142857,0.0,0.2798634812286689,0.947262384451292,2021-12-16,1,2021,12,16,Thursday,0,False,True,False,False,0.04420514628273828,1.4560655738572714,0.009472623844512919
CUST1005,0.45454545454545453,1,South,2.0,Self-Employed,0.0752481715009824,0.002312163358768188,0.44714285714285706,0.5714285714285714,0.2184300341296928,0.5780990756103342,2020-12-16,0,2020,12,16,Wednesday,0,True,False,False,False,0.07255149214641703,0.030727170011539767,0.005780990756103343
CUST1006,0.8636363636363635,1,East,1.0,Salaried,0.09590336846160527,0.08290914426017744,0.867142857142857,0.4285714285714286,0.43344709897610917,0.5382792130836692,2022-05-05,0,2022,5,5,Thursday,0,False,False,True,False,0.09157901717680565,0.864507113672133,0.005382792130836692
CUST1007,0.40909090909090906,0,North,3.0,Self-Employed,0.07418711952413858,0.10430133032486057,0.677142857142857,0.4285714285714286,0.07167235494880542,0.044797345342498185,2023-10-20,0,2023,10,20,Friday,0,False,False,False,True,0.07156420765596425,1.4059223621820713,0.00044797345342498186
CUST1008,0.49999999999999994,1,West,3.0,Salaried,0.03608663234586772,0.033428623333663594,0.6814285714285713,0.14285714285714285,0.7337883959044368,0.05747807537331123,2020-06-29,1,2020,6,29,Monday,0,False,False,False,True,0.035450762296641264,0.9263436669088772,0.0005747807537331124
CUST1009,0.22727272727272724,0,North,2.0,Salaried,0.06225378287138787,0.0621472011992351,0.7514285714285713,0.28571428571428575,0.3617747440273037,0.18274472623844518,2019-08-17,0,2019,8,17,Saturday,0,True,False,False,False,0.06039286119391087,0.9982879486637308,0.0018274472623844517
